latitude,longitude,beds,week_price,neighbourhood_cleansed,zipcode
37.7509893,-122.4123912,3,21,Mission,94110
37.75125908,-122.41959,1,7,Mission,94110
37.75442495,-122.4225268,3,21,Mission,94110
37.75392028,-122.4250217,3,21,Mission,94110
37.76715056,-122.4175619,1,7,Mission,94103
37.75725607,-122.4125369,1,7,Mission,94110
37.75678598,-122.4117116,3,21,Mission,94110
37.76258743,-122.4246365,3,21,Mission,94110
37.76181574,-122.4214326,1,7,Mission,94110
37.75857146,-122.4090347,1,7,Mission,94110
37.76506038,-122.4252117,1,7,Mission,94103
37.75465206,-122.4108748,1,7,Mission,94110
37.74901877,-122.4248465,2,14,Mission,94110
37.7665383,-122.4239299,1,7,Mission,94103
37.76022472,-122.4204972,1,7,Mission,94110
37.76807164,-122.424595,3,21,Mission,94103
37.76512659,-122.4104002,1,7,Mission,94103
37.75829739,-122.419475,4,28,Mission,94110
37.75870533,-122.4165946,3,21,Mission,94110
37.75797189,-122.4096018,3,21,Mission,94110
37.76282268,-122.4186276,1,7,Mission,94110
37.7592379,-122.4245943,1,7,Mission,94110
37.75951725,-122.4219182,3,21,Mission,94110
37.75773211,-122.4104305,1,7,Mission,94110
37.75653661,-122.419275,4,28,Mission,94110
37.76258853,-122.4174764,1,7,Mission,94110
37.76055316,-122.4208676,2,14,Mission,94110
37.75752397,-122.4146837,4,28,Mission,94110
37.75861652,-122.423829,2,14,Mission,94110
37.76934355,-122.4228242,2,14,Mission,94103
37.74911936,-122.4223903,1,7,Mission,94110
37.75282381,-122.4130389,1,7,Mission,94110
37.75852755,-122.4238706,1,7,Mission,94110
37.76431325,-122.4156947,2,14,Mission,94103
37.75471988,-122.4103397,2,14,Mission,94110
37.75667816,-122.4147033,1,7,Mission,94110
37.75557545,-122.4247407,5,35,Mission,94110
37.75659849,-122.414179,3,21,Mission,94110
37.75295529,-122.4038429,1,7,Mission,94110
37.76907821,-122.4203199,1,7,Mission,94103
37.7672784,-122.4223073,1,7,Mission,94103
37.75852594,-122.4133371,1,7,Mission,94110
37.7671807,-122.4204302,1,7,Mission,94103
37.75573674,-122.4108047,4,28,Mission,94110
37.75339878,-122.4173487,1,7,Mission,94110
37.7593975,-122.4177266,1,7,Mission,94110
37.7623415,-122.4152495,1,7,Mission,94110
37.76082204,-122.4191647,2,14,Mission,94110
37.75065033,-122.4198382,4,28,Mission,94110
37.76022146,-122.425508,1,7,Mission,94110
37.76662828,-122.4178155,1,7,Mission,94103
37.76118152,-122.4191111,3,21,Mission,94110
37.75080904,-122.4163747,5,35,Mission,94110
37.76999787,-122.4198414,3,21,Mission,94103
37.75122573,-122.4236679,1,7,Mission,94110
37.75524895,-122.4099138,3,21,Mission,94110
37.75442005,-122.4099231,1,7,Mission,94110
37.75192598,-122.4217791,1,7,Mission,94110
37.75905882,-122.4218547,1,7,Mission,94110
37.76134648,-122.4207622,1,7,Mission,94110
37.75111378,-122.4133564,2,14,Mission,94110
37.76668745,-122.4211264,1,7,Mission,94110
37.76120327,-122.4073464,5,35,Mission,94110
37.75869748,-122.4110783,2,14,Mission,94110
37.76145652,-122.4204264,2,14,Mission,94110
