beds,price,number_of_reviews
1,168.00,4
2,265.00,143
3,225.00,34
1,110.00,4
1,69.00,114
3,95.00,23
7,325.00,1
2,275.00,3
3,299.00,0
1,88.00,21
1,114.00,69
1,79.00,178
1,78.00,19
3,188.00,0
1,175.00,0
1,495.00,0
3,345.00,14
1,40.00,67
1,68.00,10
1,65.00,7
4,395.00,4
1,55.00,10
3,300.00,62
2,130.00,57
1,185.00,41
3,280.00,1
1,70.00,1
1,109.00,81
1,145.00,38
1,160.00,0
1,53.00,35
3,250.00,22
1,75.00,1
3,375.00,0
1,55.00,59
1,123.00,18
3,200.00,1
1,70.00,1
2,110.00,78
3,1150.00,0
1,83.00,4
4,220.00,37
1,107.00,103
1,39.00,54
2,135.00,11
1,129.00,0
2,125.00,28
1,147.00,21
1,125.00,23
2,125.00,242
1,100.00,0
1,110.00,2
2,139.00,116
1,100.00,46
3,700.00,0
2,120.00,1
2,120.00,0
3,200.00,24
4,220.00,8
1,55.00,2
4,450.00,0
1,150.00,0
2,195.00,74
1,115.00,0
1,115.00,11
6,1595.00,0
2,110.00,258
1,110.00,4
5,270.00,18
3,450.00,13
1,55.00,12
1,92.00,9
3,175.00,1
1,125.00,0
2,350.00,0
1,86.00,18
1,120.00,38
2,274.00,7
1,90.00,23
1,165.00,10
2,99.00,121
3,346.00,10
1,124.00,0
4,250.00,8
1,285.00,0
5,700.00,3
3,100.00,15
1,109.00,67
1,150.00,1
2,200.00,27
1,90.00,26
1,145.00,41
2,55.00,1
3,400.00,1
2,149.00,7
4,800.00,0
4,170.00,0
1,115.00,3
1,50.00,6
2,300.00,15
1,100.00,0
3,345.00,124
1,69.00,250
1,100.00,1
1,99.00,0
1,97.00,4
4,350.00,44
1,120.00,56
2,139.00,134
1,36.00,0
1,95.00,1
1,99.00,0
4,289.00,25
1,59.00,13
1,98.00,104
1,495.00,1
5,1200.00,0
1,100.00,174
2,115.00,5
1,174.00,0
3,235.00,33
4,229.00,15
1,128.00,37
1,100.00,163
1,130.00,15
1,329.00,0
1,65.00,173
3,400.00,3
1,125.00,49
1,224.00,64
3,400.00,14
5,260.00,108
1,135.00,0
1,177.00,3
1,125.00,6
4,250.00,31
1,160.00,8
3,190.00,260
2,69.00,11
1,125.00,3
5,499.00,6
1,10.00,0
1,77.00,4
1,65.00,0
3,600.00,1
2,169.00,90
1,300.00,1
1,115.00,103
1,75.00,4
1,59.00,4
4,700.00,0
6,699.00,0
1,77.00,0
2,135.00,75
1,55.00,18
2,450.00,10
1,178.00,105
1,140.00,1
1,220.00,42
1,100.00,5
1,130.00,1
1,130.00,1
1,55.00,0
1,90.00,6
2,250.00,123
2,800.00,0
4,400.00,4
1,120.00,24
4,225.00,22
1,123.00,60
2,300.00,0
4,1000.00,11
2,159.00,24
1,67.00,0
3,195.00,30
1,195.00,1
2,59.00,20
1,180.00,167
7,249.00,10
6,197.00,34
1,59.00,20
1,148.00,5
2,239.00,30
1,80.00,1
2,200.00,3
2,305.00,0
2,1000.00,0
4,199.00,11
3,300.00,2
1,68.00,1
1,140.00,44
1,250.00,11
1,190.00,17
7,725.00,4
1,90.00,7
3,400.00,3
1,129.00,11
4,450.00,0
1,120.00,14
1,51.00,0
3,360.00,2
2,425.00,9
1,135.00,129
5,650.00,0
4,685.00,0
1,48.00,0
1,39.00,0
2,125.00,98
1,116.00,5
1,150.00,8
1,89.00,88
5,450.00,18
5,300.00,3
1,115.00,0
1,200.00,11
2,275.00,0
1,200.00,30
2,100.00,0
2,249.00,5
1,150.00,0
3,800.00,1
5,300.00,3
2,77.00,4
1,70.00,0
2,165.00,55
1,150.00,3
1,200.00,10
1,135.00,85
5,350.00,0
1,285.00,0
2,125.00,2
2,295.00,152
3,200.00,3
1,125.00,12
1,59.00,2
3,375.00,7
2,155.00,0
1,150.00,34
1,250.00,0
2,180.00,0
1,72.00,5
1,100.00,2
2,140.00,6
2,200.00,2
2,143.00,26
2,250.00,2
2,150.00,19
4,320.00,0
4,575.00,13
1,125.00,115
4,189.00,14
1,119.00,103
1,99.00,1
1,80.00,2
4,650.00,0
1,70.00,2
2,325.00,6
1,150.00,0
3,500.00,0
1,225.00,39
1,200.00,0
1,125.00,0
1,85.00,1
1,75.00,4
4,139.00,8
4,380.00,17
1,85.00,2
1,70.00,0
1,135.00,85
1,65.00,171
3,110.00,0
1,164.00,0
2,295.00,19
1,150.00,0
3,250.00,4
1,115.00,80
2,70.00,2
1,150.00,1
1,70.00,230
3,225.00,13
2,300.00,4
3,450.00,11
3,450.00,0
1,100.00,14
1,150.00,2
6,499.00,59
1,125.00,15
1,110.00,66
2,98.00,4
1,79.00,87
1,120.00,3
5,265.00,7
1,69.00,30
4,950.00,2
